Replicate,Donor,CAR,alanine,glutamate
1,1,CD19,0.768120988,0.259771256
2,1,CD19,0.56549363,0.686620292
3,1,CD19,0.674530692,0.384338561
1,2,CD19,0.498520848,2.838553568
2,2,CD19,0.294738616,0.870455342
3,2,CD19,0.368468628,1.66580695
1,3,CD19,0.488533371,1.198557986
2,3,CD19,0.346006086,1.184714183
3,3,CD19,0.562388935,1.148393688
1,4,CD19,0.513863959,1.907754318
2,4,CD19,0.533955123,1.809887389
3,4,CD19,0.345511495,1.424637593
1,1,EGFRt,0.804024546,0.661532627
2,1,EGFRt,0.645287849,0.710986421
3,1,EGFRt,0.599808339,0.394934462
1,2,EGFRt,0.240741848,1.05E-06
2,2,EGFRt,0.249691008,0.11278074
3,2,EGFRt,0.219185491,0.085979417
1,3,EGFRt,0.163429179,0.265127987
2,3,EGFRt,0.204724109,0.284740547
3,3,EGFRt,0.170473062,0.26668812
1,4,EGFRt,0.368741871,0.781398554
2,4,EGFRt,0.339304085,0.810410602
3,4,EGFRt,0.424134228,0.882067883
1,3,GD2,1.497530455,3.47738575
2,3,GD2,1.443622418,3.222919978
3,3,GD2,1.532907301,2.816310567
1,4,GD2,1.24830483,3.210148052
2,4,GD2,1.596341815,4.463638943
3,4,GD2,1.49198561,4.306841258
1,1,Leu16,0.817666392,0.827289048
2,1,Leu16,0.610250227,0.527976387
3,1,Leu16,0.703677426,0.420568522
1,2,Leu16,0.343842016,0.283187924
2,2,Leu16,0.341127767,0.403649807
3,2,Leu16,0.40540713,0.384092187
1,3,Leu16,0.280417124,5.05E-07
2,3,Leu16,0.263369974,2.46E-07
3,3,Leu16,0.250022389,1.59E-06
1,4,Leu16,0.364061521,0.504450489
2,4,Leu16,0.417572443,0.888029919
3,4,Leu16,0.401755469,1.13328751
1,1,RFR-LCDR,0.650090529,0.835615647
2,1,RFR-LCDR,0.466708203,0.564558444
3,1,RFR-LCDR,0.592918926,0.63090517
1,2,RFR-LCDR,0.817620343,0.759922532
2,2,RFR-LCDR,1.34499991,1.566586242
3,2,RFR-LCDR,1.100845921,1.110023416
1,3,RFR-LCDR,1.012589186,1.650922806
2,3,RFR-LCDR,1.135190234,2.088822299
3,3,RFR-LCDR,1.154275656,1.536622675
1,4,RFR-LCDR,0.542596455,2.115822609
2,4,RFR-LCDR,0.422046398,1.613447644
3,4,RFR-LCDR,0.510721407,1.988097628
1,2,RFR-LCDR.AA,1.662310305,1.522543094
2,2,RFR-LCDR.AA,1.469181443,1.467183146
3,2,RFR-LCDR.AA,1.776409788,2.044788449
1,4,RFR-LCDR.AA,0.441668973,1.818622821
2,4,RFR-LCDR.AA,0.447650748,1.894793506
3,4,RFR-LCDR.AA,0.412996206,1.637464573
1,1,Rituximab,0.869611658,0.871423541
2,1,Rituximab,0.84583833,1.000270225
3,1,Rituximab,0.679643421,0.720881053
1,2,Rituximab,4.630501181,4.614279273
2,2,Rituximab,4.538917642,3.336204632
3,2,Rituximab,4.138187099,3.796397356
1,3,Rituximab,0.934641564,3.767618887
2,3,Rituximab,0.873236152,3.694754458
3,3,Rituximab,0.984556709,3.976411206
1,4,Rituximab,1.094780048,2.728303111
2,4,Rituximab,1.244824479,3.227084135
3,4,Rituximab,1.219450133,3.347170551
1,2,Rituximab.AA,4.791137976,4.116735216
2,2,Rituximab.AA,4.271447596,4.497725844
3,2,Rituximab.AA,4.550853256,4.81395189
1,4,Rituximab.AA,0.784726199,2.477830873
2,4,Rituximab.AA,0.628422661,2.125747642
3,4,Rituximab.AA,0.775879549,2.663598044