Replicate,Donor,Growth,Media
1,1,0.015361247,dFBS
2,1,0.017368368,dFBS
3,1,0.015308842,dFBS
1,1,0.017941873,amm
2,1,0.016166396,amm
3,1,0.018521969,amm
1,1,0.014751814,lac
2,1,0.016835863,lac
3,1,0.018220992,lac
1,1,0.010487474,ammlac
2,1,0.010410009,ammlac
3,1,0.00913314,ammlac
1,3,0.013520203,dFBS
2,3,0.013178597,dFBS
3,3,0.013053262,dFBS
1,3,0.005959334,amm
2,3,0.007288548,amm
3,3,0.00618428,amm
1,3,0.010151319,lac
2,3,0.009631571,lac
3,3,0.005849325,lac
1,3,0.007516494,ammlac
2,3,0.007852622,ammlac
3,3,0.007061519,ammlac
1,4,0.015599045,dFBS
2,4,0.020698899,dFBS
3,4,0.018117214,dFBS
1,4,0.005189796,ala
2,4,0.007498645,ala
3,4,0.00611294,ala
1,4,0.01107454,amm
2,4,0.010105638,amm
3,4,0.010924614,amm