Replicate,Donor,CAR,lactate,alanine,glutamate,ammonia
1,8,EGFRt,62.03419781,0.379406653,0.987548052,1.557731527
2,8,EGFRt,55.40649952,0.348160242,0.767088659,1.240596231
3,8,EGFRt,48.84592973,0.345347213,1.148456427,1.318827496
1,8,Leu16,49.05584702,0.186642245,0.870114522,1.495582666
2,8,Leu16,48.96324614,0.214393528,0.833693174,1.219317627
3,8,Leu16,45.94945494,0.196599946,0.712366382,1.312702744
1,8,Rituximab,175.1966738,0.561866386,2.206264375,5.147584418
2,8,Rituximab,177.5978419,0.50891852,2.31154855,5.169597643
3,8,Rituximab,184.4722303,0.597703841,2.446601849,5.066515616
1,8,Rituximab28mut,201.1857508,0.657770085,2.48953711,5.770258841
2,8,Rituximab28mut,194.5042284,0.619597305,2.491252601,5.248535673
3,8,Rituximab28mut,144.4253336,0.49271132,1.850813958,4.160011141
1,8,Rituximabzmut,78.34119943,0.340917248,1.227652518,1.356539523
2,8,Rituximabzmut,62.86690206,0.290730464,1.165146263,1.458438089
3,8,Rituximabzmut,71.78779928,0.283231136,0.981889965,1.525865817
1,8,Rituximab28mutzmut,45.96128915,0.219938209,0.411864202,1.374138006
2,8,Rituximab28mutzmut,43.8323485,0.237971103,0.610148147,1.556399659
3,8,Rituximab28mutzmut,48.13745248,0.218728316,0.590549729,1.376282781
1,2–2,EGFRt,97.59382601,0.391899625,0.503446265,1.443663748
2,2–2,EGFRt,80.06869161,0.346743468,0.695069043,1.296971278
3,2–2,EGFRt,88.81194566,0.405487575,0.308533872,1.438715078
1,2–2,Leu16,72.64612582,0.255245656,0.952306426,1.357320601
2,2–2,Leu16,70.1148285,0.231736808,1.041137285,1.436411001
3,2–2,Leu16,68.17076609,0.250383834,0.891043998,1.667695658
1,2–2,Rituximab,156.2974726,0.575439655,2.019107408,4.242520746
2,2–2,Rituximab,141.530374,0.490414856,1.70703369,3.944674438
3,2–2,Rituximab,149.5836296,0.567645856,1.739068212,4.208084531
1,2–2,Rituximab28mut,153.0403933,0.906141334,2.027236464,4.913979793
2,2–2,Rituximab28mut,160.4075771,0.967384924,1.925709171,5.151774126
3,2–2,Rituximab28mut,189.9854855,1.063026548,2.045697173,5.526461665
1,2–2,Rituximabzmut,74.3756005,0.269529176,0.768311585,1.534964257
2,2–2,Rituximabzmut,87.51510136,0.244007499,0.45025099,1.377420435
3,2–2,Rituximabzmut,59.01696812,0.239549359,0.184600871,1.454411012
1,2–2,Rituximab28mutzmut,64.73609759,0.311240372,0.481725653,1.269131573
2,2–2,Rituximab28mutzmut,67.11530787,0.247477999,0.415839281,1.196346259
3,2–2,Rituximab28mutzmut,72.01825239,0.232896717,0.569029994,1.103825588